image_id,item_id,image_filename,scene_difficulty,ground_truth_label,yolo_label,yolo_confidence,vlm_triggered,vlm_label,yolo_label_correct,vlm_label_correct,notes
img_012,img_012_item_01,sandwich_hard_012.jpeg,hard,麵包,toasted bread,0.1052,1,"lettuce, cucumber, tomato",1,0,
img_012,img_012_item_02,sandwich_hard_012.jpeg,hard,炒蛋,plate,0.2948,1,"bread, lettuce, tomato, cucumber, fried egg",0,1,
img_012,img_012_item_03,sandwich_hard_012.jpeg,hard,生菜,plate,0.2948,1,"bread, omelet, tomato, cucumber, lettuce",0,1,
img_012,img_012_item_04,sandwich_hard_012.jpeg,hard,牛蕃茄,plate,0.2948,1,"bread, fried egg, cucumber, tomato, lettuce",0,1,
img_012,img_012_item_05,sandwich_hard_012.jpeg,hard,小黃瓜,plate,0.2948,1,"bread, lettuce, fried egg, tomato, cucumber",0,1,
img_013,img_013_item_01,avocado_toast_easy_013.jpeg,easy,酪梨,vegetables,0.1368,1,"bread, avocado, fried egg",1,1,
img_013,img_013_item_02,avocado_toast_easy_013.jpeg,easy,吐司,toasted bread,0.3728,1,"toasted bread, avocado, fried egg",1,1,
img_013,img_013_item_03,avocado_toast_easy_013.jpeg,easy,蘋果,plate,0.8783,0,plate,0,0,
img_013,img_013_item_04,avocado_toast_easy_013.jpeg,easy,藍莓,plate,0.8783,0,plate,0,0,
img_013,img_013_item_05,avocado_toast_easy_013.jpeg,easy,覆盆莓,plate,0.8783,0,plate,0,0,
img_014,img_014_item_01,pasta_sardine_hard_014.jpeg,hard,花椰菜,plate,0.9535,0,plate,0,0,
img_014,img_014_item_02,pasta_sardine_hard_014.jpeg,hard,義大利麵,plate,0.9535,0,plate,0,0,
img_014,img_014_item_03,pasta_sardine_hard_014.jpeg,hard,沙丁魚,plate,0.9535,0,plate,0,0,
img_015,img_015_item_01,veggie_fruit_salad_hard_015.jpeg,hard,地瓜,baked potatoes,0.5896,1,sweet potato,1,1,
img_015,img_015_item_02,veggie_fruit_salad_hard_015.jpeg,hard,水煮蛋,plate,0.9393,0,plate,0,0,
img_015,img_015_item_03,veggie_fruit_salad_hard_015.jpeg,hard,蘋果,plate,0.9393,0,plate,0,0,
img_015,img_015_item_04,veggie_fruit_salad_hard_015.jpeg,hard,洋蔥,plate,0.9393,0,plate,0,0,
img_015,img_015_item_05,veggie_fruit_salad_hard_015.jpeg,hard,玉米粒,vegetables,0.3514,1,"boiled egg, lettuce",1,0,
img_015,img_015_item_06,veggie_fruit_salad_hard_015.jpeg,hard,牛番茄,plate,0.9393,0,plate,0,0,
img_015,img_015_item_07,veggie_fruit_salad_hard_015.jpeg,hard,胡麻醬,plate,0.9393,0,plate,0,0,
img_016,img_016_item_01,leek_dried_tofu_easy_016.jpeg,easy,韭菜,mussel,0.5657,1,"tofu, greens, onions",0,1,
img_016,img_016_item_02,leek_dried_tofu_easy_016.jpeg,easy,豆干,mussel,0.5657,1,"tofu, greens, onions",0,1,
img_017,img_017_item_01,chayote_leaves_carrot_easy_017.jpeg,easy,龍鬚菜,lettuce,0.4950,1,"greens, carrot",0,1,
img_017,img_017_item_02,chayote_leaves_carrot_easy_017.jpeg,easy,紅蘿蔔,lettuce,0.4950,1,"greens, carrot",0,1,
img_018,img_018_item_01,sausage_salad_hard_018.jpeg,hard,香腸,plate,0.3571,1,"lettuce, boiled egg, tomato, apple, lemon, sausage",0,1,
img_018,img_018_item_02,sausage_salad_hard_018.jpeg,hard,生菜,lettuce,0.2656,1,"lettuce, cucumber, salmon",1,1,
img_018,img_018_item_03,sausage_salad_hard_018.jpeg,hard,蘋果,plate,0.3571,1,"lettuce, lemon, tomato, boiled egg, apple, sausage",0,1,
img_018,img_018_item_04,sausage_salad_hard_018.jpeg,hard,酪梨,plate,0.3571,1,"lettuce, lime, tomato, boiled egg, apple, sausage",0,0,
img_018,img_018_item_05,sausage_salad_hard_018.jpeg,hard,水煮蛋,plate,0.3571,1,"lettuce, lemon, tomato, boiled egg, apple, sausage",0,1,
img_018,img_018_item_06,sausage_salad_hard_018.jpeg,hard,牛番茄,plate,0.3571,1,"lettuce, lemon, tomato, boiled egg, sausage, apple",0,0,
img_018,img_018_item_07,sausage_salad_hard_018.jpeg,hard,柳橙,plate,0.3571,1,"lettuce, lime, tomato, boiled egg, apple, spinach, sausage",0,1,
img_019,img_019_item_01,asparagus_meat_tomato_easy_019.jpeg,easy,蘆筍,not_detected,0.0000,1,"boiled egg, vegetables, rice, broccoli, tomato",0,1,
img_019,img_019_item_02,asparagus_meat_tomato_easy_019.jpeg,easy,肉片,not_detected,0.0000,1,"rice, beans, fried egg, cabbage, tomato, asparagus",0,0,
img_019,img_019_item_03,asparagus_meat_tomato_easy_019.jpeg,easy,小番茄,not_detected,0.0000,1,"rice, pasta, chicken, watermelon, broccoli, lettuce, black bean, cucumber",0,0,
img_020,img_020_item_01,green_pepper_onion_meat_easy_020.jpeg,easy,青椒,plate,0.7651,0,plate,0,0,
img_020,img_020_item_02,green_pepper_onion_meat_easy_020.jpeg,easy,洋蔥,plate,0.7651,0,plate,0,0,
img_020,img_020_item_03,green_pepper_onion_meat_easy_020.jpeg,easy,肉片,plate,0.7651,0,plate,0,0,
img_021,img_021_item_01,green_pepper_meat_easy_021.jpeg,easy,肉片,chicken,0.2211,1,"chicken, greens",1,1,
img_021,img_021_item_02,green_pepper_meat_easy_021.jpeg,easy,青椒,vegetables,0.3089,1,"chicken, green peppers",1,1,
img_022,img_022_item_01,bibimbap_veggies_hard_022.jpeg,hard,櫛瓜,rice,0.9702,0,rice,0,0,
img_022,img_022_item_02,bibimbap_veggies_hard_022.jpeg,hard,紅蘿蔔,rice,0.9702,0,rice,0,0,
img_022,img_022_item_03,bibimbap_veggies_hard_022.jpeg,hard,馬鈴薯,baked potatoes,0.1842,1,"katsu, rice",1,0,
img_022,img_022_item_04,bibimbap_veggies_hard_022.jpeg,hard,茄子,rice,0.9702,0,rice,0,0,
img_022,img_022_item_05,bibimbap_veggies_hard_022.jpeg,hard,生菜,rice,0.9702,0,rice,0,0,
img_022,img_022_item_06,bibimbap_veggies_hard_022.jpeg,hard,玉米粒,rice,0.9702,0,rice,0,0,
img_022,img_022_item_07,bibimbap_veggies_hard_022.jpeg,hard,飯,rice,0.9702,0,rice,1,1,
img_022,img_022_item_08,bibimbap_veggies_hard_022.jpeg,hard,紅辣椒,rice,0.9702,0,rice,0,0,
img_023,img_023_item_01,tteokbokki_beef_hard_023.jpeg,hard,年糕,rice,0.6837,1,"beef, mushrooms, greens",1,0,
img_023,img_023_item_02,tteokbokki_beef_hard_023.jpeg,hard,肉片,pork,0.2044,1,"pork, onion",1,1,
img_023,img_023_item_03,tteokbokki_beef_hard_023.jpeg,hard,青蔥,plate,0.7296,0,plate,0,0,
img_023,img_023_item_04,tteokbokki_beef_hard_023.jpeg,hard,金針菇,plate,0.7296,0,plate,0,0,
img_024,img_024_item_01,fried_noodles_beef_hard_024.jpeg,hard,炒麵,not_detected,0.0000,1,"grape, french fries, grilled steak, vegetables, watermelon",0,0,
img_024,img_024_item_02,fried_noodles_beef_hard_024.jpeg,hard,牛肉,not_detected,0.0000,1,"watermelon, rice, chicken, cabbage",0,0,
img_024,img_024_item_03,fried_noodles_beef_hard_024.jpeg,hard,紅蘿蔔,not_detected,0.0000,1,"chicken, rice, broccoli, watermelon",0,0,
img_025,img_025_item_01,dumplings_easy_025.jpeg,easy,水餃,plate,0.9577,0,plate,0,0,
img_026,img_026_item_01,steak_bread_egg_easy_026.jpeg,easy,麵包,plate,0.8196,0,plate,0,0,
img_026,img_026_item_02,steak_bread_egg_easy_026.jpeg,easy,水煮蛋,plate,0.8196,0,plate,0,0,
img_026,img_026_item_03,steak_bread_egg_easy_026.jpeg,easy,牛排,plate,0.8196,0,plate,0,0,
img_026,img_026_item_04,steak_bread_egg_easy_026.jpeg,easy,蘋果,plate,0.8196,0,plate,0,0,
img_027,img_027_item_01,steak_zucchini_mushroom_easy_027.jpeg,easy,牛排,plate,0.6234,1,"grilled steak, zucchini, mushrooms",0,1,
img_027,img_027_item_02,steak_zucchini_mushroom_easy_027.jpeg,easy,櫛瓜,plate,0.6234,1,"steak, zucchini, mushrooms, baked potatoes",0,1,
img_027,img_027_item_03,steak_zucchini_mushroom_easy_027.jpeg,easy,杏鮑菇,plate,0.6234,1,"grilled steak, zucchini, mushrooms",0,1,
img_028,img_028_item_01,noodles_clam_hard_028.jpeg,hard,泡麵,spaghetti,0.5812,1,"pasta, tomato, greens, cucumber",1,1,
img_028,img_028_item_02,noodles_clam_hard_028.jpeg,hard,蛤蜊,vegetables,0.8612,0,vegetables,0,0,
img_028,img_028_item_03,noodles_clam_hard_028.jpeg,hard,小白菜,vegetables,0.8612,0,vegetables,1,1,
img_028,img_028_item_04,noodles_clam_hard_028.jpeg,hard,九層塔,vegetables,0.8612,0,vegetables,1,1,
img_028,img_028_item_05,noodles_clam_hard_028.jpeg,hard,辣椒,vegetables,0.8612,0,vegetables,1,1,
img_029,img_029_item_01,waffle_cookie_easy_029.jpeg,easy,鬆餅,plate,0.9267,0,plate,0,0,
img_029,img_029_item_02,waffle_cookie_easy_029.jpeg,easy,餅乾,plate,0.9267,0,plate,0,0,
img_030,img_030_item_01,rice_noodles_mushroom_hard_030.jpeg,hard,米粉,pasta,0.3739,1,"rice noodles, mushrooms, clams",1,1,
img_030,img_030_item_02,rice_noodles_mushroom_hard_030.jpeg,hard,香菇,plate,0.9634,0,plate,0,0,
