label_id,label_zh,label_en,category_group,yolo_class_name,notes
62,小番茄,cherry_tomato,蔬菜類,tomato,紅色小圓球;與牛番茄切塊不同
63,青椒,green_pepper,蔬菜類,pepper,綠色塊狀/條狀;形狀明顯
64,櫛瓜,zucchini,蔬菜類,vegetable,切片烤過;綠色邊緣白色果肉
65,茄子,eggplant,蔬菜類,vegetable,深紫色/褐色;烹調後變軟
66,飯,white_rice,穀物類,rice,白飯主食
67,年糕,rice_cake,穀物類,rice_cake,白色長條狀;多半被醬汁染色
68,青蔥,green_scallion,葉菜類,onion,與蔥段類似;切碎或切段
69,金針菇,enoki_mushroom,菇類,mushroom,白色細長
70,炒麵,fried_noodles,穀物類,noodle,熟麵條拌醬汁;棕色
71,牛肉,beef,肉類,meat,深褐色肉片/肉塊
72,水餃,dumplings,麵食類,dumpling,白色麵皮包餡;半月形
73,牛排,steak,肉類,meat,深褐色肉塊/肉片
74,杏鮑菇,king_oyster_mushroom,菇類,mushroom,淺褐色切塊
75,泡麵,instant_noodles,穀物類,noodle,捲曲狀麵條
76,小白菜,bok_choy,葉菜類,vegetable,綠葉白莖
77,九層塔,basil,葉菜類,herb,深綠色葉片;調味用
78,辣椒,chili,蔬菜類,pepper,紅色/綠色切片
79,鬆餅,waffle,甜點類,waffle,格子狀麵糊烤製
80,餅乾,cookie,甜點類,cookie,常溫點心
81,米粉,rice_noodles,穀物類,noodle,白色細長米製麵條
82,香菇,shiitake_mushroom,菇類,mushroom,深褐色切片/整朵
